Corpus,InfMorpho,FreqCount,Condition,PreLet,Unit,TotalFreq,UnitFreq,UnitProb,UnitFreqSL,UnitProbSL
Lexique,All Words,Type,Yes,a,b,3740,9,.0024064,0,0
Lexique,All Words,Type,Yes,a,ï,3740,9,.0024064,0,0
Lexique,All Words,Type,Yes,a,o,3740,8,.0021390,0,0
Lexique,All Words,Type,Yes,a,y,3740,8,.0021390,0,0
Lexique,All Words,Type,Yes,a,d,3740,6,.0016043,0,0
Lexique,All Words,Type,Yes,a,f,3740,5,.0013369,0,0
Lexique,All Words,Type,Yes,a,z,3740,4,.0010695,1,.250000
Lexique,All Words,Type,Yes,a,w,3740,2,.0005348,0,0
Lexique,All Words,Type,Yes,a,e,3740,1,.0002674,0,0
Lexique,All Words,Type,Yes,a,v,3740,1,.0002674,0,0
Lexique,All Words,Type,Yes,â,t,718,717,.9986072,717,1
Lexique,All Words,Type,Yes,â,â,718,1,.0013928,0,0
Lexique,All Words,Type,Yes,b,e,250,104,.4160000,104,1
Lexique,All Words,Type,Yes,b,é,250,45,.1800000,0,0
Lexique,All Words,Type,Yes,b,a,250,39,.1560000,0,0
Lexique,All Words,Type,Yes,b,s,250,19,.0760000,18,.947368
Lexique,All Words,Type,Yes,b,i,250,17,.0680000,0,0
Lexique,All Words,Type,Yes,b,o,250,11,.0440000,0,0
Lexique,All Words,Type,Yes,b,u,250,10,.0400000,0,0
Lexique,All Words,Type,Yes,b,y,250,5,.0200000,0,0
Lexique,All Words,Type,Yes,c,e,1077,699,.6490251,696,.995708
Lexique,All Words,Type,Yes,c,s,1077,101,.0937790,100,.990099
Lexique,All Words,Type,Yes,c,é,1077,93,.0863510,0,0
Lexique,All Words,Type,Yes,c,h,1077,41,.0380687,1,.024390
Lexique,All Words,Type,Yes,c,k,1077,33,.0306407,0,0
Lexique,All Words,Type,Yes,c,t,1077,30,.0278552,4,.133333
Lexique,All Words,Type,Yes,c,o,1077,26,.0241411,0,0
Lexique,All Words,Type,Yes,c,i,1077,23,.0213556,0,0
Lexique,All Words,Type,Yes,c,a,1077,18,.0167131,0,0
Lexique,All Words,Type,Yes,c,u,1077,11,.0102136,0,0
Lexique,All Words,Type,Yes,c,y,1077,2,.0018570,0,0
Lexique,All Words,Type,Yes,ç,a,70,60,.8571429,0,0
Lexique,All Words,Type,Yes,ç,u,70,8,.1142857,0,0
Lexique,All Words,Type,Yes,ç,à,70,2,.0285714,0,0
Lexique,All Words,Type,Yes,d,e,1536,703,.4576823,702,.998578
Lexique,All Words,Type,Yes,d,s,1536,347,.2259115,347,1
Lexique,All Words,Type,Yes,d,é,1536,203,.1321615,0,0
Lexique,All Words,Type,Yes,d,a,1536,123,.0800781,0,0
Lexique,All Words,Type,Yes,d,i,1536,57,.0371094,0,0
Lexique,All Words,Type,Yes,d,u,1536,56,.0364583,0,0
Lexique,All Words,Type,Yes,d,o,1536,37,.0240885,0,0
Lexique,All Words,Type,Yes,d,y,1536,7,.0045573,0,0
Lexique,All Words,Type,Yes,d,j,1536,1,.0006510,0,0
Lexique,All Words,Type,Yes,d,t,1536,1,.0006510,0,0
Lexique,All Words,Type,Yes,d,û,1536,1,.0006510,0,0
Lexique,All Words,Type,Yes,e,s,22870,14937,.6531264,14923,.999063
Lexique,All Words,Type,Yes,e,r,22870,4579,.2002186,0,0
Lexique,All Words,Type,Yes,e,z,22870,2220,.0970704,0,0
Lexique,All Words,Type,Yes,e,n,22870,351,.0153476,0,0
Lexique,All Words,Type,Yes,e,t,22870,347,.0151727,0,0
Lexique,All Words,Type,Yes,e,l,22870,208,.0090949,0,0
Lexique,All Words,Type,Yes,e,a,22870,89,.0038916,0,0
Lexique,All Words,Type,Yes,e,u,22870,29,.0012680,0,0
Lexique,All Words,Type,Yes,e,x,22870,20,.0008745,0,0
Lexique,All Words,Type,Yes,e,f,22870,16,.0006996,0,0
Lexique,All Words,Type,Yes,e,c,22870,14,.0006122,0,0
Lexique,All Words,Type,Yes,e,m,22870,14,.0006122,0,0
Lexique,All Words,Type,Yes,e,y,22870,12,.0005247,0,0
Lexique,All Words,Type,Yes,e,d,22870,11,.0004810,0,0
Lexique,All Words,Type,Yes,e,e,22870,7,.0003061,0,0
Lexique,All Words,Type,Yes,e,p,22870,5,.0002186,0,0
Lexique,All Words,Type,Yes,e,g,22870,3,.0001312,0,0
Lexique,All Words,Type,Yes,e,b,22870,2,.0000875,0,0
Lexique,All Words,Type,Yes,e,i,22870,2,.0000875,0,0
Lexique,All Words,Type,Yes,e,h,22870,1,.0000437,0,0
Lexique,All Words,Type,Yes,e,k,22870,1,.0000437,0,0
Lexique,All Words,Type,Yes,e,o,22870,1,.0000437,0,0
Lexique,All Words,Type,Yes,e,w,22870,1,.0000437,0,0
Lexique,All Words,Type,Yes,é,s,6446,3210,.4979832,3210,1
Lexique,All Words,Type,Yes,é,e,6446,3208,.4976730,3208,1
Lexique,All Words,Type,Yes,é,a,6446,11,.0017065,0,0
Lexique,All Words,Type,Yes,é,é,6446,8,.0012411,0,0
Lexique,All Words,Type,Yes,é,o,6446,7,.0010859,0,0
Lexique,All Words,Type,Yes,é,i,6446,2,.0003103,0,0
Lexique,All Words,Type,Yes,è,s,35,34,.9714286,20,.588235
Lexique,All Words,Type,Yes,è,m,35,1,.0285714,0,0
Lexique,All Words,Type,Yes,ê,t,16,16,1,16,1
Lexique,All Words,Type,Yes,ë,s,8,7,.8750000,7,1
Lexique,All Words,Type,Yes,ë,l,8,1,.1250000,0,0
Lexique,All Words,Type,Yes,f,s,353,227,.6430595,227,1
Lexique,All Words,Type,Yes,f,e,353,48,.1359773,48,1
Lexique,All Words,Type,Yes,f,é,353,34,.0963173,0,0
Lexique,All Words,Type,Yes,f,a,353,22,.0623229,0,0
Lexique,All Words,Type,Yes,f,f,353,8,.0226629,0,0
Lexique,All Words,Type,Yes,f,t,353,7,.0198300,0,0
Lexique,All Words,Type,Yes,f,i,353,5,.0141643,0,0
Lexique,All Words,Type,Yes,f,u,353,2,.0056657,0,0
Lexique,All Words,Type,Yes,g,e,1123,837,.7453250,837,1
Lexique,All Words,Type,Yes,g,é,1123,147,.1308994,0,0
Lexique,All Words,Type,Yes,g,s,1123,65,.0578807,65,1
Lexique,All Words,Type,Yes,g,o,1123,28,.0249332,0,0
Lexique,All Words,Type,Yes,g,a,1123,22,.0195904,0,0
Lexique,All Words,Type,Yes,g,i,1123,15,.0133571,0,0
Lexique,All Words,Type,Yes,g,u,1123,5,.0044524,0,0
Lexique,All Words,Type,Yes,g,t,1123,2,.0017809,2,1
Lexique,All Words,Type,Yes,g,h,1123,1,.0008905,0,0
Lexique,All Words,Type,Yes,g,y,1123,1,.0008905,0,0
Lexique,All Words,Type,Yes,h,e,723,369,.5103734,369,1
