Corpus	InfMorpho	FreqCount	Condition	PreLet	Unit	TotalFreq	UnitFreq	UnitProb	UnitFreqSL	UnitProbSL
Lexique	All Words	Type	Yes	x	i	57	2	0.0350877	0	0
Lexique	All Words	Type	Yes	x	y	57	1	0.0175439	0	0
Lexique	All Words	Type	Yes	y	é	172	59	0.3430233	0	0
Lexique	All Words	Type	Yes	y	a	172	53	0.3081395	0	0
Lexique	All Words	Type	Yes	y	e	172	26	0.1511628	26	1
Lexique	All Words	Type	Yes	y	s	172	22	0.127907	19	0.863636
Lexique	All Words	Type	Yes	y	x	172	4	0.0232558	0	0
Lexique	All Words	Type	Yes	y	l	172	3	0.0174419	0	0
Lexique	All Words	Type	Yes	y	m	172	2	0.0116279	0	0
Lexique	All Words	Type	Yes	y	r	172	2	0.0116279	0	0
Lexique	All Words	Type	Yes	y	o	172	1	0.005814	0	0
Lexique	All Words	Type	Yes	z	e	68	38	0.5588235	38	1
Lexique	All Words	Type	Yes	z	o	68	9	0.1323529	0	0
Lexique	All Words	Type	Yes	z	a	68	7	0.1029412	0	0
Lexique	All Words	Type	Yes	z	é	68	6	0.0882353	0	0
