ortho	freql
accorderez	0.2
accorderiez	0.07
accorderons	0.0
accorderont	0.2
accordes	0.07
accordeur	0.61
accordez	0.81
accordiez	0.0
accordions	0.2
accordo	0.07
accordons	0.47
accords	11.49
accordât	0.88
accordèrent	0.54
accordé	7.43
accordé	0.41
accordée	4.93
accordée	0.2
accordées	1.22
accordées	0.14
accordéon	4.8
accordéoniste	1.42
accordéonistes	0.27
accordéons	0.68
accordés	1.42
accordés	0.34
accore	0.14
accores	0.07
accort	0.2
accorte	0.27
accortes	0.14
accorts	0.07
accosta	0.54
accostage	0.88
accostaient	0.14
accostais	0.07
accostait	0.47
accostant	0.07
accostant	0.27
accoste	0.54
accostent	0.27
accoster	1.35
accosterez	0.0
accosterons	0.0
accostez	0.0
accostiez	0.07
accostons	0.0
accosté	0.27
accostée	0.14
accostées	0.07
accota	0.27
accotaient	0.14
accotait	0.14
accotant	0.34
accote	0.14
accotement	1.08
accotements	0.34
accotent	0.07
accoter	0.07
accotoirs	0.07
accotons	0.07
accotèrent	0.07
accoté	0.54
accotée	0.27
accotées	0.14
accotés	0.2
accotés	0.07
accoucha	0.54
accouchaient	0.2
accouchais	0.0
accouchait	0.41
accouchant	0.0
accouchant	0.0
accouche	1.22
accouchement	3.24
accouchements	0.68
accouchent	0.14
accoucher	3.51
accouchera	0.0
accoucherait	0.07
accoucheras	0.0
accouches	0.2
accoucheur	0.47
accoucheurs	0.14
accoucheuse	0.2
accouchez	0.0
accouché	1.08
accouchée	0.0
accouchée	0.81
accouchées	0.34
accouchés	0.07
accouda	2.97
accoudai	0.47
accoudaient	0.27
accoudais	0.2
accoudait	0.61
accoudant	0.95
accoude	1.22
accouder	1.42
accoudions	0.07
accoudoir	2.23
accoudoirs	2.97
accoudons	0.07
accoudèrent	0.27
accoudé	5.0
accoudé	0.27
accoudée	2.5
accoudée	0.07
accoudées	0.14
accoudés	1.55
accoudés	0.07
accoupla	0.07
accouplaient	0.27
accouplais	0.07
accouplait	0.2
accouplant	0.07
accouple	0.07
accouplement	1.69
accouplements	0.81
accouplent	0.34
accoupler	0.74
accouplera	0.0
accouplerait	0.07
accoupleront	0.0
accouplèrent	0.07
accouplé	0.27
accouplée	0.07
accouplées	0.2
accouplés	0.74
accouraient	1.49
accourais	0.14
accourait	2.43
accourant	0.34
accourcissant	0.07
accoure	0.14
accourent	0.81
accoures	0.0
accourez	0.14
accouriez	0.0
accourir	2.84
accourons	0.07
accourra	0.07
accourrai	0.07
accourraient	0.14
accourrais	0.0
accourrait	0.2
accourront	0.07
accours	0.34
accourt	2.57
accouru	1.82
accourue	0.47
accourues	0.41
accoururent	0.74
accourus	1.69
accourussent	0.07
accourut	1.96
accourût	0.07
accoutre	0.07
accoutrement	2.09
accoutrements	0.61
accoutré	0.27
accoutré	0.14
accoutrée	0.07
accoutrée	0.2
accoutrés	0.14
accoutrés	0.07
accoutuma	0.07
accoutumai	0.07
accoutumaient	0.2
accoutumais	0.07
accoutumait	0.2
accoutumance	1.28
accoutumances	0.0
accoutumant	0.14
accoutume	0.54
accoutument	0.2
accoutumer	1.08
accoutumerait	0.07
accoutumé	3.58
accoutumé	0.41
accoutumée	1.35
accoutumée	4.26
accoutumées	0.34
accoutumées	0.07
accoutumés	1.22
accoutumés	0.27
accouvée	0.07
accras	0.0
accro	0.61
accro	0.0
accroc	2.57
accrocha	5.68
accrochage	0.88
accrochages	0.61
accrochai	1.01
accrochaient	4.73
accrochais	1.01
accrochait	10.34
accrochant	0.2
accrochant	4.59
accroche	0.2
accroche	13.18
accroche-coeur	0.34
accroche-coeurs	0.41
accrochent	2.64
accrocher	14.32
accrochera	0.07
accrocherai	0.14
accrocheraient	0.07
accrocherais	0.2
accrocherait	0.07
accrocherez	0.0
accrocheriez	0.07
accrocheront	0.0
accroches	0.07
accroches	0.07
accrocheur	0.14
accrocheurs	0.14
accrocheuse	0.0
accrocheuses	0.07
accrochez	0.27
accrochiez	0.0
accrochions	0.47
accrochons	0.07
accrochât	0.14
accrochèrent	0.61
accroché	15.95
accroché	1.55
accrochée	9.86
accrochée	0.95
accrochées	5.81
accrochées	0.27
accrochés	8.58
accrochés	0.74
accrocs	0.54
accroire	0.54
accrois	0.07
accroissaient	0.2
accroissait	0.95
accroissant	0.14
accroisse	0.07
accroissement	1.28
accroissent	0.27
accroissez	0.0
accros	0.07
accros	0.07
accroupi	3.24
accroupi	8.24
accroupie	1.55
accroupie	3.31
accroupies	0.47
accroupies	0.81
accroupir	2.7
accroupirent	0.47
accroupis	2.97
accroupis	2.84
accroupissaient	0.27
accroupissais	0.07
accroupissait	0.07
accroupissant	0.34
accroupisse	0.07
accroupissement	0.2
accroupissent	0.34
accroupissons	0.14
accroupit	5.27
accroît	1.76
accroîtra	0.0
accroîtrait	0.0
accroître	3.99
accroîtront	0.07
accru	1.08
accru	0.68
accrue	1.08
accrue	2.09
accrue	0.07
accrues	0.2
accrues	0.27
accrurent	0.27
accrus	0.14
accrus	0.0
accrut	0.81
accrédita	0.07
accréditaient	0.07
accréditait	0.07
accréditant	0.07
accréditation	0.0
accréditations	0.0
accréditer	0.74
accréditif	0.07
accrédité	0.34
accrédité	0.2
accréditée	0.14
accréditée	0.0
accrédités	0.07
accrédités	0.07
accrédités	0.07
accrétion	0.0
accrût	0.07
accu	0.07
accueil	16.22
accueillaient	1.08
accueillais	0.34
accueillait	5.88
accueillant	1.82
accueillant	1.35
accueillante	2.09
accueillantes	0.27
accueillants	0.88
accueille	6.08
accueillent	1.76
accueillera	0.47
accueillerai	0.07
accueilleraient	0.0
accueillerait	0.74
accueilleras	0.0
accueillerez	0.07
accueilleriez	0.0
accueillerons	0.07
accueilleront	0.27
accueilles	0.07
accueillez	0.14
accueilli	7.91
accueillie	2.23
accueillies	0.61
accueillir	13.99
accueillirent	1.49
accueillis	3.18
accueillit	6.69
accueillons	0.07
accueillît	0.2
accueils	0.2
accula	0.07
acculaient	0.2
acculais	0.14
acculait	0.27
acculant	0.14
accule	0.14
acculent	0.14
acculer	0.88
acculera	0.0
acculeraient	0.07
acculez	0.0
acculturation	0.0
acculât	0.07
acculèrent	0.07
acculé	1.76
acculé	0.2
acculée	0.34
acculées	0.07
acculés	0.61
acculés	0.07
accumula	0.14
accumulai	0.07
accumulaient	1.76
accumulais	0.27
accumulait	2.57
accumulant	1.55
accumulateur	0.07
accumulateurs	0.07
accumulation	3.72
accumulations	0.07
accumule	1.49
accumulent	0.95
accumuler	3.72
accumulerez	0.0
accumulez	0.0
accumulèrent	0.14
accumulé	3.04
accumulée	3.31
accumulées	3.04
accumulés	2.5
accus	0.27
accusa	3.18
accusai	0.47
accusaient	2.09
accusais	0.68
accusait	6.55
accusant	2.64
accusateur	0.81
accusateur	0.41
